pais_autor,titulo,sitio_detectado,paises_del_sitio,clasificacion
cn,SIGGRAPH 2019 Art Gallery,vienna,at,ajeno
cn,A knowledge graph-based approach for semantic association and intelligent Q&amp;A on the “Fu” cultural symbol system of Quanzhou,quanzhou,cn,propio
cn,LLM-Reflex-GeoKG: A reflexion-enhanced LLM framework for automated geographic knowledge graph construction,reflexion,kh,ajeno
cn,CAVE+KAIST+ICVL,rio de janeiro,br,ajeno
cn,The application of intelligent generation model for international discourse of grand canal culture based on artificial intelligence and BPNN model,the grand canal,cn,propio
cn,A Method for Restoring Dunhuang Murals Based on Improved Generative Adversarial Networks,mogao caves,cn,propio
cn,Materials Research at Xi'an Jiaotong University: Interdisciplinary Innovation Toward a Sustainable and Intelligent Future,harbour,nl,ajeno
eg,Formation of reference groups for archaeological pottery using neutron activation and multivariate statistical analyses,kremlin,ru,ajeno
eg,Egypt Monuments Dataset version 1: A Scalable Benchmark for Image Classification and Monument Recognition,palaces,de,ajeno
eg,The Use of Machine Learning and Satellite Imagery to Detect Roman Fortified Sites: The Case Study of Blad Talh (Tunisia Section),fortified,et,ajeno
eg,Using deep learning for enrichment of heritage BIM: Al Radwan house in historic Jeddah as a case study,historic jeddah,sa,ajeno
eg,An AI Lens on Historic Cairo,historic cairo,eg,propio
fr,Ontology-Based Photogrammetry Survey for Medieval Archaeology: Toward a 3D Geographic Information System (GIS),florence,it,ajeno
fr,A versatile and low-cost 3D acquisition and processing pipeline for collecting mass of archaeological findings on the field,delphi,gr,ajeno
fr,Semantic Segmentation using Foundation Models for Cultural Heritage: an Experimental Study on Notre-Dame de Paris,notre-dame,fr,propio
fr,SURVEYING MEDIEVAL ARCHAEOLOGY: A NEW FORM FOR HARRIS PARADIGMLINKING PHOTOGRAMMETRY AND TEMPORAL RELATIONS,florence,it,ajeno
fr,Capillariid diversity in archaeological material from the New and the Old World: clustering and artificial intelligence approaches,rio de janeiro,br,ajeno
fr,Smart Technology in Tunisian Tourism Management Through Virtual Spaces Design in Archaeological Sites: Sustainability and Enhancing Visitor Experience,carthage,tn,ajeno
fr,"A deep learning-based taphonomical approach to distinguish the modifying agent in the Late Pleistocene site of Toll Cave (Barcelona, Spain)",barcelona,es,ajeno
fr,Towards the Semantic-aware 3D Digitisation of Architectural Heritage,notre-dame,fr,propio
fr,Weakly Supervised SVM-Enhanced SAM Pipeline for Stone-by-Stone Segmentation of the Masonry of the Loire Valley Castles,castles,gb;gh,ajeno
fr,The Hassan mosque at the digital era,rabat,ma,ajeno
fr,Semantic and Geometric Datasets Creation for Monument Analysis: A Framework for Expert-Guided Annotation and AI Models,notre-dame,fr,propio
fr,Corrosion prediction for preventive protection of aircraft heritage,prague,cz,ajeno
fr,Hybrid Construction of Knowledge Graph and Deep Learning Experiments for Notre-Dame De Paris’ Data,notre-dame,fr,propio
fr,Coliseum project: Correlating climate change data with the behavior of heritage materials,strasbourg,fr,propio
fr,Assessing the dominant height of oriental beech (Fagus orientalis L.) in relation to edaphic and physiographic variables in the Hyrcanian Forests of Iran,hyrcanian forests,az;ir,ajeno
fr,From surveys to simulations: Integrating Notre-Dame de Paris' buttressing system diagnosis with knowledge graphs,notre-dame,fr,propio
fr,Hôtel de la Marine dataset for 3D reconstruction,prague,cz,ajeno
fr,Hôtel de la Marine dataset for 3D reconstruction,prague,cz,ajeno
fr,Hôtel de la Marine dataset for 3D reconstruction,prague,cz,ajeno
fr,Hôtel de la Marine dataset for 3D reconstruction,prague,cz,ajeno
fr,"Une méthodologie en évolution culturelle (SIG, biostatistiques, phylogénie et Machine Learning) : exemple d'application aux populations du passé",necropolis,eg;tn,ajeno
fr,A machine learning approach to Nemrut Dağ and Bingöl Obsidians: non-invasive and non-destructive geochemical analyses for provenance source of Tulūl al Baqarat tools (Iraq),nemrut dag,tr,ajeno
fr,<i>Journal of Animal Ecology</i> in 2023: Looking back and looking forward,heard,au,ajeno
fr,Vers un environnement numérique collaboratif pour l'analyse multimodale du comportement de structures,notre-dame,fr,propio
fr,Assessing the dominant height of oriental beech (Fagus orientalis L.) in relation to edaphic and physiographic variables in the Hyrcanian Forests of Iran,hyrcanian forests,az;ir,ajeno
fr,Advances in portable devices for materials detection and analysis,cordoba,es,ajeno
fr,Advances in portable devices for materials detection and analysis,cordoba,es,ajeno
fr,"BRAIN EVOLUTION: PALAEOSCIENCES, NEUROSCIENCE AND ARTIFICIAL INTELLIGENCE",reflexion,kh,ajeno
fr,Assisting Biologists in Editing Taxonomic Information by Confronting Multiple Data Sources using Linked Data Standards,worms,de,ajeno
fr,Fostering heart team values: the fourth Belgrade Valve International Symposium,barcelona,es,ajeno
gb,Deep Learning for the Segmentation of Large-Scale Surveys of Historic Masonry: A New Tool for Building Archaeology Applied at the Basilica of St Anthony in Padua,padua,it,ajeno
gb,Semantics-enriched spatiotemporal mapping of public risk perceptions for cultural heritage during radical events,venice,it,ajeno
gb,Integrating Environmental <scp>DNA</scp> Metabarcoding and Remote Sensing Reveals Known and Novel Fish Diversity Hotspots in a World Heritage Area,"shark bay, western australia",au,ajeno
gb,Harnessing artificial intelligence technology and social media data to support Cultural Ecosystem Service assessments,the dolomites,it,ajeno
gb,From remote sensing and machine learning to the history of the Silk Road: large scale material identification on wall paintings,mogao caves,cn,ajeno
gb,Lightweight transfer learning for weathering pattern recognition in stone cultural heritage: validation at Yungang Grottoes,yungang grottoes,cn,ajeno
gb,Audit Design: Know-how to Monitor Community Knowledge Transfer in World Heritage Management Systems,hevsel gardens,tr,ajeno
gb,Game AI for Cultural Heritage: Outcomes from the GameTable Third Grant Period Opening Meeting,prague,cz,ajeno
gb,Spatiotemporal analysis and deep-learning based forecasting of land surface temperature in the UNESCO world heritage sinharaja rainforest,sinharaja forest reserve,lk,ajeno
gb,Data from: Integrating environmental DNA metabarcoding and remote sensing reveals known and novel fish diversity hotspots in a World Heritage Area,"shark bay, western australia",au,ajeno
gb,"Coproduction mechanisms to weave Indigenous knowledge, artificial intelligence, and technical data to enable Indigenous-led adaptive decision making: lessons from Australia’s joint",kakadu national park,au,ajeno
gb,Using machine learning techniques to predict beaching of marine debris on the Galapagos Islands,galapagos islands,ec,ajeno
gb,Towards a neural network approach for automated recognition of lichen-covered prehistoric carvings at Stonehenge,stonehenge,gb,propio
gb,Generative modelling of Monopteros and Tholos temples using existing data: The case study of Vesta temple in Tivoli,tivoli,it,ajeno
gb,Screening the stones of Venice: Mapping social perceptions of cultural significance through graph-based semi-supervised classification,venice,it,ajeno
gb,EVA London 2021 - Index,jerusalem,nan,ajeno
gb,Towards tantalluc: Interactive mobile augmented reality application for the Museo de Am&amp;#x00E9;rica in Madrid,madrid,es,ajeno
gb,"Cultural work, wellbeing, and AI",heard,au,ajeno
gb,S04: Hic sunt dracones! Real-world data-driven knowledge modelling resulting in Semantics and FAIR-LOD based tools and workflows (Standard),mainz,de,ajeno
gb,Novel approaches for enhanced visualisation and recognition of rock carvings at Stonehenge,stonehenge,gb,propio
gb,"Archaeology's Ray Gun Era: Drones, LiDAR & AI on Digs",herculaneum,it,ajeno
gb,"Archaeology's Ray Gun Era: Drones, LiDAR & AI on Digs",herculaneum,it,ajeno
gb,Optimising 3D point cloud semantic segmentation: ML and manual refinement in the UNESCO Saltaire Village,saltaire,gb,propio
gb,The history of science captured in paintings: what modern scientists can learn by studying the history of science?,krakow,pl,ajeno
gb,New Frontiers in Cardiovascular Research 2019,krakow,pl,ajeno
gb,Editorial: Data analytics in sustainable city planning,delhi,in,ajeno
gb,Code Word Cloud in Franz Kafka’s “Beim Bau der Chinesischen Mauer” [“The Great Wall of China”],the great wall,cn,ajeno
gb,AI &amp; The Oracle: Future Interfacing Technical Objects and the Reflexive Practitioner in Futures Studies,delphi,gr,ajeno
gb,DigiSpec: Scoping Future Born-Digital Data Services for the Arts and Humanities: Case Reports,barcelona,es,ajeno
gb,<i>Journal of Animal Ecology</i> in 2023: Looking back and looking forward,heard,au,ajeno
